club_id,club,player_name,nationality,position,age,born,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,p90_gls,p90_ast,p90_g+a,p90_g-pk,p90_g+a-pk,p90_xg,p90_xag,p90_xg+xag,p90_npxg,p90_npxg+xag,matches
16,Preston North End,Jordan Storey,England,DF,26.0,1997.0,35,35,3062,34.0,1,1,2,1,0,0,6,0,1.2,1.2,1.2,2.4,18,100,17,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.07,0.04,0.07,https://fbref.com/en/players/fa47f160/matchlogs/2024-2025/summary/Jordan-Storey-Match-Logs
8,Leeds United,Pascal Struijk,Netherlands,DF,24.0,1999.0,35,31,2824,31.4,5,0,5,3,2,3,3,0,5.9,3.5,0.5,4.0,37,193,11,0.16,0.0,0.16,0.1,0.1,0.19,0.02,0.2,0.11,0.13,https://fbref.com/en/players/f4d296e4/matchlogs/2024-2025/summary/Pascal-Struijk-Match-Logs
11,Millwall,Zak Sturge,England,DF,20.0,2004.0,5,3,303,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,10,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/1095aec1/matchlogs/2024-2025/summary/Zak-Sturge-Match-Logs
24,West Bromwich Albion,Callum Styles,Hungary,DF,24.0,2000.0,34,29,2613,29.0,3,1,4,3,0,0,11,1,1.8,1.8,1.2,2.9,57,129,72,0.1,0.03,0.14,0.1,0.14,0.06,0.04,0.1,0.06,0.1,https://fbref.com/en/players/e96d5560/matchlogs/2024-2025/summary/Callum-Styles-Match-Logs
17,Queens Park Rangers,Emmerson Sutton,England,FW,17.0,2006.0,2,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,8,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,https://fbref.com/en/players/08967efc/matchlogs/2024-2025/summary/Emmerson-Sutton-Match-Logs
15,Portsmouth,Zak Swanson,England,DF,23.0,2000.0,30,23,1972,21.9,1,1,2,1,0,0,5,0,0.4,0.4,0.9,1.3,23,65,47,0.05,0.05,0.09,0.05,0.09,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/5b7381b5/matchlogs/2024-2025/summary/Zak-Swanson-Match-Logs
24,West Bromwich Albion,John Swift,England,MF,29.0,1995.0,36,19,1741,19.3,3,1,4,3,0,0,4,0,3.1,3.1,2.2,5.3,30,144,66,0.16,0.05,0.21,0.16,0.21,0.16,0.11,0.27,0.16,0.27,https://fbref.com/en/players/646ee278/matchlogs/2024-2025/summary/John-Swift-Match-Logs
2,Bristol City,Mark Sykes,Republic of Ireland,"MF,DF",26.0,1997.0,27,21,1707,19.0,3,4,7,3,0,0,5,0,1.3,1.3,3.6,4.8,58,57,145,0.16,0.21,0.37,0.16,0.37,0.07,0.19,0.26,0.07,0.26,https://fbref.com/en/players/40580929/matchlogs/2024-2025/summary/Mark-Sykes-Match-Logs
1,Blackburn Rovers,Sammie Szmodics,Republic of Ireland,MF,28.0,1995.0,1,0,26,0.3,1,1,2,1,0,0,0,0,0.1,0.1,0.7,0.8,1,1,0,3.46,3.46,6.92,3.46,6.92,0.36,2.29,2.65,0.36,2.65,https://fbref.com/en/players/39944392/matchlogs/2024-2025/summary/Sammie-Szmodics-Match-Logs
14,Plymouth Argyle,Kornél Szűcs,Hungary,DF,22.0,2001.0,36,31,2839,31.5,0,1,1,0,0,0,6,0,0.6,0.6,0.5,1.1,9,66,10,0.0,0.03,0.03,0.0,0.03,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/8b1dd29e/matchlogs/2024-2025/summary/Kornel-Szucs-Match-Logs
15,Portsmouth,Elias Sørensen,Denmark,"FW,MF",24.0,1999.0,12,4,322,3.6,1,0,1,1,0,1,0,0,1.5,0.8,0.0,0.8,0,3,16,0.28,0.0,0.28,0.28,0.28,0.43,0.01,0.44,0.21,0.22,https://fbref.com/en/players/bcda3f33/matchlogs/2024-2025/summary/Elias-Sorensen-Match-Logs
12,Norwich City,Jakob Sørensen,Denmark,"MF,DF",26.0,1998.0,27,14,1327,14.7,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,13,69,12,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/953c30b0/matchlogs/2024-2025/summary/Jakob-Sorensen-Match-Logs
14,Plymouth Argyle,Maksym Talovierov,Ukraine,DF,24.0,2000.0,11,10,934,10.4,1,1,2,1,0,0,3,0,0.2,0.2,0.2,0.4,1,23,2,0.1,0.1,0.19,0.1,0.19,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/6a54638e/matchlogs/2024-2025/summary/Maksym-Talovierov-Match-Logs
8,Leeds United,Ao Tanaka,Japan,MF,25.0,1998.0,43,37,3314,36.8,5,2,7,5,0,0,8,0,3.6,3.6,2.6,6.2,38,259,43,0.14,0.05,0.19,0.14,0.19,0.1,0.07,0.17,0.1,0.17,https://fbref.com/en/players/1d36d6b6/matchlogs/2024-2025/summary/Ao-Tanaka-Match-Logs
11,Millwall,Japhet Tanganga,England,DF,25.0,1999.0,40,40,3552,39.5,2,0,2,2,0,0,6,0,2.5,2.5,0.6,3.1,15,83,14,0.05,0.0,0.05,0.05,0.05,0.06,0.01,0.08,0.06,0.08,https://fbref.com/en/players/e9971f2d/matchlogs/2024-2025/summary/Japhet-Tanganga-Match-Logs
2,Bristol City,George Tanner,England,DF,24.0,1999.0,32,23,2002,22.2,2,0,2,2,0,0,2,0,0.6,0.6,1.2,1.7,23,93,47,0.09,0.0,0.09,0.09,0.09,0.03,0.05,0.08,0.03,0.08,https://fbref.com/en/players/8f9c9b14/matchlogs/2024-2025/summary/George-Tanner-Match-Logs
4,Cardiff City,Ollie Tanner,England,"FW,MF",22.0,2002.0,29,15,1387,15.4,2,2,4,2,0,0,1,0,3.0,3.0,1.3,4.3,51,41,105,0.13,0.13,0.26,0.13,0.26,0.19,0.08,0.28,0.19,0.28,https://fbref.com/en/players/cb7570b6/matchlogs/2024-2025/summary/Ollie-Tanner-Match-Logs
5,Coventry City,Fabio Tavares,England,FW,23.0,2001.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8e24902a/matchlogs/2024-2025/summary/Fabio-Tavares-Match-Logs
9,Luton Town,Joseph Taylor,Wales,"FW,MF",21.0,2002.0,13,0,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,0,10,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.31,0.28,0.31,https://fbref.com/en/players/bfd3801e/matchlogs/2024-2025/summary/Joseph-Taylor-Match-Logs
20,Stoke City,Junior Tchamadeu,Cameroon,DF,20.0,2003.0,41,35,3136,34.8,1,2,3,1,0,0,10,0,1.7,1.7,3.0,4.7,57,100,101,0.03,0.06,0.09,0.03,0.09,0.05,0.09,0.13,0.05,0.13,https://fbref.com/en/players/c19cfdae/matchlogs/2024-2025/summary/Junior-Tchamadeu-Match-Logs
13,Oxford United,Hidde ter Avest,Netherlands,DF,27.0,1997.0,21,10,997,11.1,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,8,30,30,0.09,0.0,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09,https://fbref.com/en/players/18f9dbd0/matchlogs/2024-2025/summary/Hidde-ter-Avest-Match-Logs
20,Stoke City,Emre Tezgel,England,"FW,MF",18.0,2005.0,12,2,298,3.3,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,2,7,16,0.0,0.0,0.0,0.0,0.0,0.21,0.03,0.23,0.21,0.23,https://fbref.com/en/players/f8ae30b2/matchlogs/2024-2025/summary/Emre-Tezgel-Match-Logs
5,Coventry City,Bobby Thomas,England,DF,23.0,2001.0,38,37,3334,37.0,5,0,5,5,0,0,4,0,4.5,4.5,0.7,5.3,21,132,9,0.13,0.0,0.13,0.13,0.13,0.12,0.02,0.14,0.12,0.14,https://fbref.com/en/players/6a471ee8/matchlogs/2024-2025/summary/Bobby-Thomas-Match-Logs
22,Swansea City,Joshua Thomas,Wales,MF,21.0,2002.0,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/6d80ba53/matchlogs/2024-2025/summary/Joshua-Thomas-Match-Logs
5,Coventry City,Brandon Thomas-Asante,Ghana,FW,25.0,1998.0,36,14,1449,16.1,4,3,7,4,0,0,3,0,5.3,5.3,1.7,7.0,32,22,79,0.25,0.19,0.43,0.25,0.43,0.33,0.11,0.43,0.33,0.43,https://fbref.com/en/players/fb152f96/matchlogs/2024-2025/summary/Brandon-Thomas-Asante-Match-Logs
20,Stoke City,Jordan Thompson,Northern Ireland,"MF,DF",27.0,1997.0,23,13,1353,15.0,0,1,1,0,0,0,7,0,0.3,0.3,0.3,0.6,10,59,14,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/6bf53300/matchlogs/2024-2025/summary/Jordan-Thompson-Match-Logs
6,Derby County,Liam Thompson,England,MF,22.0,2002.0,28,18,1610,17.9,0,0,0,0,0,0,6,0,0.4,0.4,0.9,1.3,21,39,43,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,https://fbref.com/en/players/d38506fe/matchlogs/2024-2025/summary/Liam-Thompson-Match-Logs
13,Oxford United,Jordan Thorniley,England,DF,27.0,1996.0,2,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,https://fbref.com/en/players/3292caee/matchlogs/2024-2025/summary/Jordan-Thorniley-Match-Logs
14,Plymouth Argyle,Muhamed Tijani,Nigeria,"FW,MF",24.0,2000.0,13,4,448,5.0,2,1,3,2,0,0,2,0,0.6,0.6,0.3,0.9,3,5,9,0.4,0.2,0.6,0.4,0.6,0.12,0.06,0.18,0.12,0.18,https://fbref.com/en/players/5885dc48/matchlogs/2024-2025/summary/Muhamed-Tijani-Match-Logs
22,Swansea City,Nathan Tjoe-A-On,Indonesia,DF,22.0,2001.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/b52223b2/matchlogs/2024-2025/summary/Nathan-Tjoe-A-On-Match-Logs
